section,feature_group,subgroup,key,value,elements,comment,source
Primary features [ edit | edit source ],Building,Agricultural/plant production [ edit source ],building,cowshed,,,wikitable
Primary features [ edit | edit source ],Building,Agricultural/plant production [ edit source ],building,farm_auxiliary,,,wikitable
Primary features [ edit | edit source ],Building,Agricultural/plant production [ edit source ],building,greenhouse,,,wikitable
Primary features [ edit | edit source ],Building,Agricultural/plant production [ edit source ],building,slurry_tank,,,wikitable
Primary features [ edit | edit source ],Building,Agricultural/plant production [ edit source ],building,stable,,,wikitable
Primary features [ edit | edit source ],Building,Agricultural/plant production [ edit source ],building,sty,,,wikitable
Primary features [ edit | edit source ],Building,Agricultural/plant production [ edit source ],building,livestock,,,wikitable
Primary features [ edit | edit source ],Building,Sports [ edit source ],building,grandstand,,,wikitable
Primary features [ edit | edit source ],Building,Sports [ edit source ],building,pavilion,[W],,wikitable
Primary features [ edit | edit source ],Building,Sports [ edit source ],building,riding_hall,,,wikitable
Primary features [ edit | edit source ],Building,Sports [ edit source ],building,sports_hall,,,wikitable
Primary features [ edit | edit source ],Building,Sports [ edit source ],building,sports_centre,,,wikitable
Primary features [ edit | edit source ],Building,Sports [ edit source ],building,stadium,,,wikitable
Primary features [ edit | edit source ],Building,Storage [ edit source ],building,allotment_house,,,wikitable
Primary features [ edit | edit source ],Building,Storage [ edit source ],building,boathouse,,,wikitable
Primary features [ edit | edit source ],Building,Storage [ edit source ],building,hangar,,,wikitable
Primary features [ edit | edit source ],Building,Storage [ edit source ],building,hut,,,wikitable
Primary features [ edit | edit source ],Building,Storage [ edit source ],building,shed,,,wikitable
Primary features [ edit | edit source ],Building,Cars [ edit source ],building,carport,,,wikitable
Primary features [ edit | edit source ],Building,Cars [ edit source ],building,garage,,,wikitable
Primary features [ edit | edit source ],Building,Cars [ edit source ],building,garages,,,wikitable
Primary features [ edit | edit source ],Building,Cars [ edit source ],building,parking,,,wikitable
Primary features [ edit | edit source ],Building,Power/technical buildings [ edit source ],building,digester,,,wikitable
Primary features [ edit | edit source ],Building,Power/technical buildings [ edit source ],building,service,,,wikitable
Primary features [ edit | edit source ],Building,Power/technical buildings [ edit source ],building,tech_cab,a question mark,,wikitable
Primary features [ edit | edit source ],Building,Power/technical buildings [ edit source ],building,transformer_tower,,,wikitable
Primary features [ edit | edit source ],Building,Power/technical buildings [ edit source ],building,water_tower,,,wikitable
Primary features [ edit | edit source ],Building,Power/technical buildings [ edit source ],building,storage_tank,,,wikitable
Primary features [ edit | edit source ],Building,Power/technical buildings [ edit source ],building,silo,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,beach_hut,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,bunker,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,castle,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,construction,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,container,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,guardhouse,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,military,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,outbuilding,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,pagoda,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,quonset_hut,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,roof,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,ruins,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,ship,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,tent,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,tower,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,triumphal_arch,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,windmill,,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,[[ Too many Data Items entities accessed. | yes ]],,,wikitable
Primary features [ edit | edit source ],Building,Other buildings [ edit source ],building,user defined,,,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],building:architecture,< architectural style >,node area,Architectural style of a building,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],building:colour,< RGB hex triplet > | < W3C colour name >,area,Indicates colour of the building,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],building:fireproof,yes | no,node area,Fire-resistance information.,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],building:flats,< number >,node area,"The number of residential units (flats, apartments) in an apartment building (building=apartments), residential building (building=residential), house (building=house), detached house (building=detached) or similar building.",wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],building:levels,< number >,node area,The number of visible levels (floors) in the building as used in the Simple 3D buildings scheme,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],building:material,< material type >,area,Outer material for the building façade,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],building:min_level,< number >,area,"For describing number of values, ""filling"" space between ground level and bottom level of building or part of building",wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],building:part,As building,area,"To mark a part of a building, which has attributes, different from such ones at other parts",wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],building:soft_storey,yes | no | reinforced,node area,A building where any one level is significantly more flexible (less stiff) than those above and below it,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],construction_date,< date >,node area,The (approximated) date when the building was finished.,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],entrance,yes | main | exit | service | emergency,node,An entrance in a building. Replaces the deprecated tag building = entrance .,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],height,< number >,node area,The height of the building in meters.,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],max_level,< number >,area,Maximum indoor level (floor) in the building as used in the Simple Indoor Tagging scheme,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],min_level,< number >,area,Minimum indoor level (floor) in the building as used in the Simple Indoor Tagging scheme,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],non_existent_levels,< number >,area,List of indoor levels (floors) that do not exists in the building as used in the Simple Indoor Tagging scheme,wikitable
Primary features [ edit | edit source ],Building,Additional attributes [ edit source ],start_date,< date >,node area,The (approximated) date when the building was finished.,wikitable
Primary features [ edit | edit source ],Craft,,craft,agricultural_engines,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,atelier,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,bag_repair,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,bakery,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,basket_maker,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,beekeeper,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,blacksmith,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,boatbuilder,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,bookbinder,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,brewery,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,builder,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,cabinet_maker,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,candlemaker,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,car_painter,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,carpenter,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,carpet_cleaner,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,carpet_layer,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,caterer,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,chimney_sweeper,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,cleaning,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,clockmaker,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,clothes_mending,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,confectionery,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,cooper,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,dental_technician,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,distillery,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,door_construction,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,dressmaker,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,electrician,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,electronics_repair,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,elevator,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,embroiderer,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,engraver,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,fence_maker,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,floorer,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,gardener,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,glassblower,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,glaziery,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,goldsmith,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,grinding_mill,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,gunsmith,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,handicraft,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,hvac,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,insulation,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,interior_decorator,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,interior_work,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,jeweller,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,joiner,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,key_cutter,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,laboratory,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,lapidary,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,leather,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,locksmith,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,luthier,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,metal_construction,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,mint,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,musical_instrument,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,oil_mill,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,optician,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,organ_builder,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,painter,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,paperhanger,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,parquet_layer,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,paver,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,pest_control,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,photographer,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,photographic_laboratory,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,photovoltaic,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,piano_tuner,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,plasterer,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,plumber,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,pottery,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,printer,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,printmaker,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,restoration,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,rigger,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,roofer,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,saddler,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,sailmaker,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,sawmill,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,scaffolder,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,sculptor,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,shoemaker,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,signmaker,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,stand_builder,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,stonemason,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,stove_fitter,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,sun_protection,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,tailor,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,tatami,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,tiler,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,tinsmith,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,toolmaker,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,turner,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,upholsterer,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,watchmaker,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,water_well_drilling,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,weaver,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,welder,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,window_construction,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Craft,,craft,winery,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Medical rescue [ edit source ],emergency,ambulance_station,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Medical rescue [ edit source ],emergency,defibrillator,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Medical rescue [ edit source ],emergency,landing_site,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Medical rescue [ edit source ],emergency,emergency_ward_entrance,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Firefighters [ edit source ],emergency,fire_service_inlet,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Firefighters [ edit source ],emergency,fire_alarm_box,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Firefighters [ edit source ],emergency,fire_extinguisher,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Firefighters [ edit source ],emergency,fire_hose,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Firefighters [ edit source ],emergency,fire_hydrant,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Firefighters [ edit source ],emergency,water_tank,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Firefighters [ edit source ],emergency,suction_point,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Lifeguards [ edit source ],emergency,lifeguard,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Lifeguards [ edit source ],emergency,life_ring,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Lifeguards [ edit source ],lifeguard,tower,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Assembly point [ edit source ],emergency,assembly_point,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Other structure [ edit source ],emergency,angela,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Other structure [ edit source ],emergency,phone,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Other structure [ edit source ],emergency,siren,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Emergency,Other structure [ edit source ],emergency,drinking_water,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,moraine,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,outcrop,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,volcanic_caldera_rim,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,fault,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,fold,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,palaeontological_site,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,volcanic_lava_field,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,volcanic_vent,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,glacial_erratic,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,rock_glacier,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,giants_kettle,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,meteor_crater,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,hoodoo,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,columnar_jointing,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,dyke,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,monocline,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,tor,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,unconformity,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,cone,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,sinkhole,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,pingo,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,inselberg,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Geological,,geological,limestone_pavement,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Highway [ edit source ],Roads [ edit source ],highway,motorway,way,"A restricted access major divided highway, normally with 2 or more running lanes plus emergency hard shoulder. Equivalent to the Freeway, Autobahn, etc..",wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Roads [ edit source ],highway,trunk,way,The most important roads in a country's system that aren't motorways. (Need not necessarily be a divided highway.),wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Roads [ edit source ],highway,primary,way,The next most important roads in a country's system. (Often link larger towns.),wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Roads [ edit source ],highway,secondary,way,The next most important roads in a country's system. (Often link towns.),wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Roads [ edit source ],highway,tertiary,way,The next most important roads in a country's system. (Often link smaller towns and villages),wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Roads [ edit source ],highway,unclassified,way,"The least important through roads in a country's system – i.e. minor roads of a lower classification than tertiary, but which serve a purpose other than access to properties. (Often link villages and hamlets.) The word 'unclassified' is a historical artefact of the UK road system and does not mean that the classification is unknown; you can use highway = road for that.",wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Roads [ edit source ],highway,residential,way,"Roads which serve as an access to housing, without function of connecting settlements. Often lined with housing.",wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Link roads [ edit source ],highway,motorway_link,way,The link roads (sliproads/ramps) leading to/from a motorway from/to a motorway or lower class highway. Normally with the same motorway restrictions.,wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Link roads [ edit source ],highway,trunk_link,way,The link roads (sliproads/ramps) leading to/from a trunk road from/to a trunk road or lower class highway.,wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Link roads [ edit source ],highway,primary_link,way,The link roads (sliproads/ramps) leading to/from a primary road from/to a primary road or lower class highway.,wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Link roads [ edit source ],highway,secondary_link,way,The link roads (sliproads/ramps) leading to/from a secondary road from/to a secondary road or lower class highway.,wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Link roads [ edit source ],highway,tertiary_link,way,The link roads (sliproads/ramps) leading to/from a tertiary road from/to a tertiary road or lower class highway.,wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Special road types [ edit source ],highway,living_street,way,"For living streets , which are residential streets where pedestrians have legal priority over cars, speeds are kept very low.",wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Special road types [ edit source ],highway,service,way area,"For access roads to, or within an industrial estate, camp site, business park, car park, alleys, etc. Can be used in conjunction with service =* to indicate the type of usage and with access =* to indicate who can use it and in what circumstances.",wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Special road types [ edit source ],highway,pedestrian,way area,For roads used mainly/exclusively for pedestrians in shopping and some residential areas which may allow access by motorised vehicles only for very limited periods of the day. To create a 'square' or 'plaza' create a closed way and tag as pedestrian and also with area = yes .,wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Special road types [ edit source ],highway,track,way,"Roads for mostly agricultural or forestry uses . To describe the quality of a track, see tracktype =* . Note: Although track s are often rough with unpaved surfaces, this tag is not describing the quality of a road but its use. Consequently, if you want to tag a general use road, use one of the general highway values instead of track .",wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Special road types [ edit source ],highway,bus_guideway,way,"A busway where the vehicle guided by the way (though not a railway) and is not suitable for other traffic. Please note: this is not a normal bus lane, use access = no , psv = yes instead! If the buses are not guided, consider highway = busway .",wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Special road types [ edit source ],highway,escape,way,"For runaway truck ramps, runaway truck lanes, emergency escape ramps, or truck arrester beds. It enables vehicles with braking failure to safely stop.",wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Special road types [ edit source ],highway,raceway,way,A course or track for (motor) racing,wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Special road types [ edit source ],highway,road,way,"A road/way/street/motorway/etc. of unknown type. It can stand for anything ranging from a footpath to a motorway. This tag should only be used temporarily until the road/way/etc. has been properly surveyed. If you do know the road type, do not use this value, instead use one of the more specific highway =* values.",wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Special road types [ edit source ],highway,busway,way,A dedicated roadway for bus rapid transit systems,wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Paths [ edit source ],highway,footway,way area,"For designated footpaths; i.e., mainly/exclusively for pedestrians. This includes walking tracks and gravel paths. Should not be used for paths where the primary or intended usage is unknown. If bicycles are allowed as well, you can indicate this by adding a bicycle = yes tag. Use highway = pedestrian for pedestrianised roads in shopping or residential areas and highway = track if it is usable by agricultural or similar vehicles. For ramps (sloped paths without steps), combine this tag with incline =* .",wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Paths [ edit source ],highway,bridleway,way,"For horse riders. Pedestrians are usually also permitted, cyclists may be permitted depending on local rules/laws. Motor vehicles are forbidden.",wikitable
Primary features [ edit | edit source ],Highway [ edit source ],Paths [ edit source ],highway,steps,way,For flights of steps (stairs) on footways. Use with step_count =* to indicate the number of steps,wikitable
